time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
607,110029.000,A,0,58.38408,8.677076,23.1,3.4,1.72,5,310.54,1,-0.01135254,0.8847656,-0.3363037,178.0666,-69.17712,0.9465935,0.9465935,-0.03698039
610,110029.000,A,0,58.38408,8.677076,23.1,4.05588,1.72,5,354.57,1,0.09655762,1.11792,-0.1135254,-139.6176,-80.11825,1.12781,1.12781,0.06040561
622,110050.000,A,0,58.3846,8.677397,23.5,7.39,2.29,3,19.35,1,-0.151001,0.883667,-0.28125,151.769,-70.13789,0.9395585,0.9395585,-0.02733151
625,110051.000,A,0,58.3845,8.67752,30.6,30.095,5.35,5,7.3,1,0.05151367,0.9575195,-0.08630371,-149.1675,-84.00773,0.9627802,0.9627802,0.007740557
628,110052.000,A,0,58.38457,8.677542,46.3,29.57,5.27,7,12.11,1,-0.005126953,0.8115234,-0.2758789,176.9353,-71.19943,0.8571498,0.8571498,-0.03521013
631,110052.000,A,0,58.38457,8.677542,46.3,29.57,5.27,7,12.11,1,0.01074219,1.026367,-0.07543945,-171.8958,-84.15173,1.029192,1.029192,0.0573474
634,110053.000,A,0,58.38464,8.677556,62.0,36.5,5.99,5,12.11,1,-0.1359863,1.21814,-0.2271729,147.0395,-80.28238,1.246581,1.246581,0.072463
637,110109.000,A,0,58.38518,8.677939,186.4,0.0,1.23,7,21.24,1,-0.114624,0.9899902,-0.208252,152.265,-76.63095,1.01813,1.01813,-0.07615042
640,110110.000,A,0,58.38519,8.677945,186.0,0.0,1.16,8,21.24,1,-0.0994873,0.9910889,-0.213623,154.9651,-76.7278,1.01872,1.01872,0.0001966159
643,110110.000,A,0,58.38519,8.677945,186.0,0.0,1.16,8,21.24,1,-0.1033936,0.9958496,-0.2124023,155.3476,-76.55468,1.023485,1.023485,0.001588464
646,110111.000,A,0,58.38519,8.677943,185.7,0.0,0.91,9,21.24,1,-0.08178711,0.9658203,-0.1662598,153.8063,-79.14005,0.983433,0.983433,-0.01335067
649,110112.000,A,0,58.38519,8.677943,185.7,0.0,1.16,8,21.24,1,-0.02099609,0.9908447,-0.1590576,172.5312,-81.10673,1.00375,1.00375,0.00677226
